# intraday sessions v1 — one row per complete regular session; the rules, the null and trial 3 run from this file anywhere
# {"symbol": "SPY", "timeframe": "1m", "provenance": {"source": "alpaca", "fetched_at": "2026-09-03T18:45:53+00:00", "adjusted": null, "path": "/Users/danielalba/Desktop/ca/tools/market/bars/SPY-1m.csv"}, "skipped": {"202 bars": 1, "185 bars": 1, "300 bars": 1, "233 bars": 1, "214 bars": 1, "206 bars": 1, "212 bars": 1, "207 bars": 1, "204 bars": 2, "47 bars": 1, "215 bars": 1, "213 bars": 2}, "sessions": 1518, "measured_by": "intraday.measure v1", "exported_at": "2026-09-04T02:44:31+00:00"}
date,r_first30,r_open_to_1530,open_1530,last_print,fill_slipped,exit_time
2021-05-21,0.0028302113064544443,-0.002230590266951271,415.98,414.99,0,15:59
2021-05-24,0.0016291327264015276,0.006157163392429554,419.92,419.12,0,15:59
2021-05-25,-0.0024979778274728526,-0.004567730884522003,418.45,418.29,0,15:59
2021-05-26,-0.002482455721583121,2.386976655355255e-05,418.94,419.04,0,15:59
2021-05-27,-0.00016659923364348295,-0.0017611918985173114,419.46,419.33,0,15:59
2021-05-28,-0.0003562776115147992,-0.0007600589045650974,420.65,420.08,0,15:59
2021-06-01,-0.003005348099768046,-0.006412986890056316,419.875,419.63,0,15:59
2021-06-02,0.0002855307302449539,-0.001201608489780348,419.75,420.32,0,15:59
2021-06-03,-0.002057170194952773,0.002679105370171131,419.2,418.77,0,15:59
2021-06-04,0.0011288827625544062,0.00404021199229998,422.47,422.59,0,15:59
2021-06-07,-0.001064761138584558,-0.0009937770626790021,422.22,422.22,0,15:59
2021-06-08,-0.0035682215605652434,-0.001146084408525927,422.7,422.26,0,15:59
2021-06-09,-0.0010279313767190823,-0.0031901318587835847,421.8,421.58,0,15:59
2021-06-10,0.002990685138777316,0.0011820889876590357,423.47,423.54,0,15:59
2021-06-11,-0.0006836397925505944,-0.0015794436586515914,423.53,424.38,0,15:59
2021-06-14,-0.0012487335956460344,-0.0016492707867021839,423.7,425.29,0,15:59
2021-06-15,-0.001821600658126643,-0.002491479609824876,424.43,424.51,0,15:59
2021-06-16,-0.0008712032022604177,-0.0041205556863668225,423.04,422.04,0,15:59
2021-06-17,0.0004980552129780769,0.0021463807987858186,422.58,422.02,0,15:59
2021-06-18,0.0004555590188697334,-0.001174862732874593,416.62,414.96,0,15:59
2021-06-21,0.0023510783772762167,0.009068445169493566,420.64,420.76,0,15:59
2021-06-22,-0.0010692391769233645,0.00709261987359211,423.86,423.02,0,15:59
2021-06-23,0.001146057326496308,0.0013232826862639158,423.67,422.64,0,15:59
2021-06-24,7.060650992030126e-05,0.0003059615429876761,425.02,425.05,0,15:59
2021-06-25,-0.00015261798544263794,0.0016553181498004665,426.595,426.61,0,15:59
2021-06-28,-0.0011821991244703733,4.6819767305805726e-05,427.245,427.47,0,15:59
2021-06-29,0.0005608262840586242,-0.0005374585222227557,427.7,427.69,0,15:59
2021-06-30,0.000807565365979368,0.002223730717914041,428.16,428.06,0,15:59
2021-07-01,0.001049244543928296,0.003194366722626407,430.3,430.47,0,15:59
2021-07-02,0.00037066209516734006,0.0045174442848539,433.625,433.82,0,15:59
2021-07-06,-0.0020283040612179004,-0.0024316599824828478,432.81,432.855,0,15:59
2021-07-07,0.00025364908801606134,0.0018447206401179805,434.51,434.48,0,15:59
2021-07-08,0.0016094045203274288,0.00337041961141038,430.2,430.9,0,15:59
2021-07-09,0.002473816845074417,0.00695905486324655,435.515,435.59,0,15:59
2021-07-12,0.0011023839051949036,0.004019107987690118,437.18,437.12,0,15:59
2021-07-13,0.0012837559029845735,-0.001260831690431452,435.69,435.68,0,15:59
2021-07-14,-0.0006515700552118808,-0.0025719870600473538,436.275,436.34,0,15:59
2021-07-15,0.0011727642743808442,-0.0011727642743808442,434.385,434.745,0,15:59
2021-07-16,-0.0020642675290718504,-0.009679121080758746,431.76,431.37,0,15:59
2021-07-19,-0.0045284966798845305,-0.008939674792932784,422.33,424.6,0,15:59
2021-07-20,0.0057542804800714276,0.014820208093571763,432.07,431.05,0,15:59
2021-07-21,0.0030762825553962703,0.004070870148494388,434.11,434.49,0,15:59
2021-07-22,-0.0008625646923519081,0.00181713628522151,435.52,435.51,0,15:59
2021-07-23,-0.0014168837698249614,0.004673431144019524,439.61,439.74,0,15:59
2021-07-26,0.001502390166173484,0.003414523104939615,440.8,440.98,0,15:59
2021-07-27,-0.0012619372442018717,-0.004047294224647668,438.04,438.97,0,15:59
2021-07-28,-0.0024336434143789054,-0.0002274433097551043,439.62,438.82,0,15:59
2021-07-29,0.0020235550907188316,0.002478286571779398,440.89,440.66,0,15:59
2021-07-30,0.003608047315658336,0.0011646228677124615,438.43,438.48,0,15:59
